song name,danceability,mood_acoustic,mood_aggressive,mood_electronic,mood_happy,mood_party,mood_relaxed,mood_sad,tonal,voice_female,voice_male,instrumental,voice,tempo
"1, 2, 3 (feat Jason Derulo & De La Ghetto) - Sofia Reyes",0.7151723,0.19174862,0.10178887,0.47819328,0.38198954,0.76869076,0.59642637,0.386933,0.8967132,0.2555825,0.74441755,0.08851025,0.91149,95.0
"Aaluma Doluma - Anirudh Ravichander, Badshah",0.58833164,0.12729836,0.34961334,0.44391808,0.22667098,0.7330128,0.59213597,0.375451,0.7697245,0.47331297,0.52668697,0.320809,0.67919123,121.0
"Ae Ajnabi - Udit Narayan, Mahalakshmi Iyer",0.17084077,0.63635576,0.019830178,0.12472992,0.17025888,0.26849547,0.94530195,0.7817528,0.8323617,0.22137398,0.7786264,0.14190558,0.85809445,121.0
"Aeternum - John Lunn, Eivør",0.07463102,0.52122104,0.03947295,0.26860407,0.037312992,0.07228715,0.9807218,0.90892166,0.5890565,0.51909286,0.48090714,0.6342247,0.36577532,154.0
"Agar Tum Saath Ho - Alka Yagnik, Arijit Singh",0.44186652,0.34436148,0.01800273,0.23596251,0.21026933,0.40077117,0.9092479,0.7827219,0.77092427,0.53012276,0.46987715,0.2782502,0.7217497,61.0
"Ale Ale - AR Rahman, Karthik, Chitra Sivaraman, Siddharth, Genelia D'Souza",0.57912195,0.18865436,0.0730096,0.20350875,0.3707624,0.67560685,0.70261556,0.4668393,0.8187447,0.34312144,0.6568784,0.19159289,0.80840707,87.0
"Annul Maelae - Harris Jayaraj, Sudha Ragunathan",0.3430882,0.56394094,0.030755255,0.2544058,0.18456918,0.20090984,0.9362249,0.73841435,0.77799636,0.4337168,0.56628335,0.26364946,0.73635083,116.0
"Apna Bana Le - Arijit Singh, Sachin-Jigar",0.347499,0.36980274,0.03688817,0.1851628,0.23149076,0.4136245,0.8536561,0.74253416,0.75790554,0.4103703,0.5896297,0.15574864,0.84425104,94.0
Apocalypse - Cigarettes After Sex,0.16572662,0.36303845,0.027089909,0.29756367,0.049396526,0.12737815,0.9795781,0.8596706,0.8083884,0.34316945,0.6568309,0.39297584,0.60702425,140.0
"Arabic Kuthu - Halamithi Habibo - Anirudh Ravichander, Jonita Gandhi",0.742629,0.12867178,0.121716574,0.4055446,0.32591984,0.80236113,0.5570505,0.3350932,0.7978259,0.33762133,0.66237843,0.17147908,0.8285211,93.0
Armatopia - Johnny Marr,0.5205199,0.057786435,0.43980926,0.34804943,0.38258943,0.42259935,0.33346853,0.32581782,0.9498642,0.24636555,0.7536346,0.2786603,0.7213395,63.0
Battle Cry - Imagine Dragons,0.12354077,0.36283243,0.27642232,0.16363879,0.06893269,0.28254032,0.77313286,0.6793585,0.8603538,0.3604077,0.6395921,0.23393781,0.7660621,130.0
Battle Symphony - Linkin Park,0.4114839,0.21895246,0.1583545,0.23669583,0.17989236,0.4972418,0.7524701,0.6002433,0.8292866,0.41780293,0.58219707,0.14086121,0.85913867,75.0
Believer - Imagine Dragons,0.4947182,0.13907535,0.24140953,0.40657458,0.16980901,0.6270545,0.7090741,0.46438542,0.8276432,0.31871656,0.6812835,0.1959696,0.80403054,94.0
Black Water Lilies - Aurora,0.29004765,0.40681073,0.046830524,0.2650345,0.101112485,0.23585744,0.9253383,0.7816271,0.8364896,0.6069947,0.39300522,0.2862802,0.71371955,121.0
Blank - Disfigure,0.7503847,0.14820859,0.11157466,0.6062379,0.4487263,0.6813812,0.50842613,0.4760298,0.7096926,0.50402826,0.49597165,0.5276479,0.47235206,70.0
Blue Jeans (Remastered 2011) - Lana Del Rey,0.1905218,0.19204837,0.17944999,0.10724683,0.22471772,0.43462452,0.76332635,0.6197483,0.91820216,0.37327665,0.6267235,0.08671837,0.9132813,116.0
Bones - Imagine Dragons,0.48980907,0.21427374,0.14221108,0.41396824,0.16822219,0.5608884,0.7834169,0.52535117,0.83895385,0.3986751,0.601325,0.15834008,0.8416601,57.0
Born To Die - Lana Del Rey,0.27602503,0.25175488,0.15294807,0.23291096,0.18527624,0.2725624,0.8170103,0.6039338,0.88485825,0.4113615,0.5886386,0.21187791,0.788122,114.0
Can We Kiss Forever (Instrumental) - Kinà,0.24460202,0.69800526,0.010584959,0.31486624,0.030705636,0.11173219,0.98844165,0.92542416,0.5657686,0.46694285,0.5330572,0.78285325,0.21714693,154.0
Can We Kiss Forever - Kinà,0.23115848,0.70004183,0.009902446,0.27294666,0.043607883,0.13505106,0.98902214,0.9226156,0.71824753,0.4429165,0.55708355,0.3444529,0.6555471,154.0
"Chahun Main Ya Naa - Palak Muchhal, Arijit Singh",0.21491927,0.6116455,0.03960166,0.10937231,0.3199536,0.17107096,0.8273312,0.7840532,0.73168576,0.37040794,0.6295918,0.27003166,0.7299684,108.0
"Chaiyya Chaiyya - Sukhwinder Singh, Sapna Awasthi",0.59488326,0.22912714,0.09017615,0.35762414,0.31024483,0.65243,0.7257445,0.4756919,0.86636615,0.33173943,0.6682609,0.22049731,0.77950275,91.0
"Chammak Challo - Vishal & Shekhar, Akon",0.8811394,0.12909019,0.22301021,0.6794816,0.5600181,0.811802,0.3586042,0.14060993,0.92766786,0.50778764,0.4922123,0.3761762,0.6238238,67.0
Chinna Chinna Asai - Minmini,0.4215416,0.5727443,0.015570848,0.323039,0.22333394,0.27048886,0.9530112,0.71223736,0.70936257,0.44155338,0.5584466,0.30044416,0.69955575,87.0
Chittiyaan Kalaiyaan - Meet Bros,0.7385593,0.17446722,0.12955339,0.41707423,0.45373562,0.7259213,0.5658977,0.30319437,0.90954614,0.36661974,0.6333804,0.18059853,0.8194014,100.0
"Chop Shop - Tyler Bates, Joel J Richard",0.2598807,0.20586032,0.04719655,0.5248,0.027616743,0.14410315,0.95626396,0.8454311,0.742257,0.57686967,0.42313024,0.7721636,0.22783652,154.0
Cold - Neffex,0.6197106,0.20090263,0.14325884,0.5620204,0.14276215,0.5937582,0.7844126,0.4317073,0.8967538,0.34252265,0.65747744,0.30633116,0.6936687,63.0
Crystallize - Lindsey Stirling,0.5743663,0.1716635,0.059873667,0.54035854,0.14820477,0.4618044,0.8232956,0.71291447,0.6417204,0.5616939,0.43830618,0.6924619,0.30753824,70.0
"Darkside - Alan Walker, AuRa, Tomine Harket",0.528867,0.2707639,0.1588872,0.44866535,0.32146096,0.49485564,0.68164325,0.48982626,0.8556702,0.5730499,0.42695004,0.26674744,0.73325217,128.0
Desi Kalakaar - Yo Yo Honey Singh,0.7439924,0.18314649,0.098727524,0.45931327,0.27576974,0.6801752,0.72620255,0.41547838,0.928615,0.2779025,0.72209764,0.08893147,0.9110685,78.0
"Despacito - Luis Fonsi, Daddy Yankee",0.5628711,0.2838915,0.06374415,0.2512163,0.36472356,0.74416035,0.7298246,0.5448919,0.8084226,0.21359909,0.786401,0.05949837,0.94050145,89.0
"Destiny Is All - John Lunn, Eivør",0.21456726,0.33603022,0.01765037,0.3433795,0.059635695,0.1665928,0.9813403,0.91117316,0.5382741,0.48339763,0.5166025,0.4963071,0.50369287,66.0
"Diamond Heart - Sophia Somajo, Alan Walker",0.517927,0.27171287,0.12493116,0.33791974,0.33005357,0.55237687,0.68378025,0.5018433,0.9256823,0.40208638,0.59791327,0.10584945,0.89415014,90.0
"Dil Se Re - AR Rahman, Anuradha, Anupama",0.54512644,0.26586533,0.13319948,0.3433716,0.1790665,0.41803327,0.787086,0.4855755,0.8988903,0.26545772,0.73454237,0.2956463,0.7043536,106.0
"Dilliwaali Girlfriend - Pritam, Arijit Singh, Sunidhi Chauhan",0.8014769,0.06656038,0.4701195,0.5856453,0.49185985,0.82837594,0.2701727,0.16152051,0.9267775,0.44524276,0.5547572,0.49413854,0.5058615,138.0
"Dippam Dappam - Anirudh Ravichander, Anthony Daasan",0.7031416,0.10296065,0.23007636,0.5276729,0.39127016,0.7506726,0.51038396,0.28869534,0.86722034,0.3118167,0.6881834,0.3153501,0.6846498,93.0
Don't Let Me Go - Cigarettes After Sex,0.114766546,0.44023162,0.03022396,0.23019724,0.036661867,0.06614111,0.97401613,0.88074034,0.81776804,0.37585944,0.62414056,0.4292393,0.5707609,140.0
Dura - Daddy Yankee,0.72022533,0.17827593,0.044515803,0.4226204,0.42192096,0.7906801,0.72902703,0.42297605,0.828647,0.25625333,0.74374664,0.10261331,0.89738655,95.0
Elangathu solo - Sriram Parthasarathy,0.31993756,0.6116666,0.0067527755,0.18817207,0.18380916,0.28266495,0.950035,0.81360453,0.70049775,0.27748707,0.7225127,0.20687135,0.79312885,72.0
"En Sarwame - Nobin Paul, Ananya",0.03419319,0.8726966,0.0038900618,0.05580724,0.10491575,0.044855997,0.9860657,0.95422214,0.77503127,0.52598274,0.47401723,0.1939782,0.80602205,152.0
Ennavale Adi Ennavale - P Unnikrishnan,0.20000361,0.47351006,0.020692185,0.24880849,0.17057718,0.24779655,0.9658344,0.7804091,0.7764533,0.4065876,0.5934124,0.14819008,0.8518101,97.0
Etho Sayana - Sachin Warrier,0.63149345,0.32522038,0.027688906,0.5484558,0.1928384,0.50925857,0.8996887,0.6468892,0.86706626,0.4532419,0.54675823,0.20532279,0.79467726,100.0
Faded - Alan Walker,0.51198846,0.27601928,0.16208361,0.4014052,0.33200312,0.45087862,0.6576651,0.5313648,0.8442543,0.6419406,0.3580594,0.33110815,0.66889155,90.0
Fuego Lento - Drake Bell,0.5644837,0.41626778,0.04056669,0.36530215,0.44016817,0.5483815,0.69524306,0.5241521,0.7471638,0.33184636,0.6681538,0.12993573,0.8700643,85.0
"Gaandakannazhagi - Anirudh Ravichander, Neeti Mohan",0.4270495,0.21830063,0.15426116,0.1917944,0.30721545,0.7071183,0.60857475,0.4781264,0.83826697,0.2456303,0.75436944,0.15760587,0.8423937,97.0
Galvanize (Edit) - The Chemical Brothers,0.7426787,0.12524545,0.19292015,0.6319624,0.39774868,0.7102809,0.5250843,0.3202069,0.85066175,0.33106515,0.66893476,0.48189652,0.51810396,104.0
Gasolina - Daddy Yankee,0.63719344,0.16871625,0.02679118,0.35956472,0.3649074,0.8117161,0.86103326,0.5804684,0.515169,0.333667,0.6663328,0.14663628,0.8533641,96.0
"Gerua - Pritam, Arijit Singh, Antara Mitra",0.16464952,0.455858,0.015641153,0.105430715,0.18452652,0.3930968,0.9353514,0.8375242,0.58094764,0.34944338,0.6505564,0.2705761,0.7294239,90.0
Goodbye - Apparat,0.0864303,0.3742933,0.1311631,0.19040442,0.022743577,0.13400234,0.97109,0.83900225,0.8129856,0.3354092,0.6645907,0.46275157,0.5372483,154.0
Goodbye Brother - Ramin Djawadi,0.057163645,0.5986256,0.0071519157,0.22944355,0.011613035,0.06902468,0.99596196,0.97685915,0.36464995,0.56388843,0.43611154,0.7794503,0.22054985,154.0
Guzarish - Javed Ali,0.7009645,0.20417432,0.017588701,0.47765526,0.21967842,0.67338526,0.88517624,0.7092435,0.8173808,0.44812167,0.5518783,0.15904619,0.84095395,85.0
Half The World Away - Aurora,0.047769643,0.7004705,0.0052577215,0.09904384,0.032232948,0.1143004,0.9941626,0.9695466,0.7002176,0.5443529,0.45564714,0.10896308,0.8910367,154.0
Hamari Adhuri Kahani - Arijit Singh,0.075740874,0.6805715,0.012043828,0.059729327,0.12974611,0.13666686,0.96027726,0.913644,0.6712387,0.38459638,0.61540365,0.19922125,0.8007782,72.0
Harleys In Hawaii - Katy Perry,0.75784993,0.20634012,0.055311933,0.53385544,0.326576,0.5877757,0.758696,0.50003237,0.8409696,0.4013211,0.59867907,0.17079103,0.82920885,70.0
Heavenly - Cigarettes After Sex,0.08028839,0.48169255,0.01556993,0.15984373,0.044807963,0.071884125,0.9815151,0.91507095,0.7383138,0.3838639,0.6161357,0.2787028,0.7212974,110.0
"Helig - John Lunn, Eivør",0.14366414,0.29245734,0.047565114,0.35222664,0.046609875,0.15633059,0.9581362,0.8879499,0.671609,0.5313362,0.46866387,0.6166625,0.38333753,102.0
"Hosanna - Vijay Prakash, Suzanne D'Mello, AR Rahman, Blaaze",0.68810564,0.23624928,0.057677664,0.43538243,0.40895236,0.53336275,0.6718631,0.5053697,0.80725604,0.4994784,0.5005216,0.27032083,0.72967917,86.0
"Hum Mar Jayenge - Tulsi Kumar, Arijit Singh",0.13108075,0.7568335,0.012916375,0.09061565,0.22332172,0.19947733,0.9419813,0.8402915,0.7053307,0.36860472,0.6313954,0.18779919,0.81220096,87.0
"Hum Naa Rahein Hum - Mithoon, Benny Dayal",0.42120254,0.40722275,0.007138182,0.26527208,0.15625283,0.3772895,0.9523555,0.8275578,0.7212212,0.37649667,0.62350327,0.20716882,0.79283124,77.0
"Humdard - Mithoon, Arijit Singh",0.090487994,0.74794114,0.0020204636,0.065695405,0.06569371,0.09848415,0.98748934,0.9652104,0.69598186,0.27703425,0.7229655,0.11261616,0.8873838,87.0
I Don't Do Personals - Ramin Djawadi,0.36888108,0.10174649,0.22008052,0.5379754,0.05533452,0.29348335,0.8702066,0.62187845,0.8094565,0.44578317,0.55421686,0.7967855,0.20321436,95.0
"Ichu Ichu - Vijay Antony, Sangeetha Rajeshwaran",0.62203336,0.19261022,0.09359667,0.30095908,0.31561536,0.6895907,0.7195852,0.4334234,0.8362716,0.32839978,0.67160034,0.19611879,0.8038813,82.0
"Ignite - Alan Walker, Julie Bergan, K-391",0.6706428,0.20115188,0.25323635,0.5688329,0.38861558,0.65620196,0.5202495,0.31103197,0.92518914,0.4803852,0.5196149,0.31098312,0.68901664,90.0
"In My Mind - M86, Susie Q",0.4257743,0.15463203,0.07123149,0.42001018,0.08486283,0.399357,0.9203927,0.7322348,0.81242985,0.49127093,0.50872916,0.3992416,0.60075825,115.0
"In The End (Mellen Gi Remix) - Tommee Profitt, Fleurie, Mellen Gi",0.5131821,0.32388365,0.0649951,0.60683626,0.07523779,0.38602948,0.9268859,0.67406,0.85762596,0.5911458,0.40885425,0.37047097,0.62952894,88.0
Industry - Mire Kay,0.020680128,0.775651,0.034391522,0.044517066,0.03806371,0.0573949,0.979474,0.93361634,0.6520891,0.27846247,0.7215375,0.19778778,0.8022122,140.0
"Innum Konjam Naeram - Shweta Mohan, Vijay Prakash, AR Rahman",0.2070428,0.6616334,0.008136911,0.13542043,0.16147022,0.20387006,0.9789122,0.89984715,0.53818655,0.32064822,0.67935205,0.25505581,0.7449439,70.0
Invisible - Julius Dreisig & Zeus X Crona,0.6827058,0.1911289,0.25598297,0.62509817,0.32141733,0.5958684,0.51263094,0.38268808,0.8321442,0.48617357,0.5138265,0.5913083,0.40869167,82.0
"Jeevamshamayi - Duet - KS Harisankar, Shreya Ghoshal",0.061945613,0.7297412,0.0038837856,0.059766494,0.083469264,0.17162265,0.9892943,0.95508903,0.5094599,0.34291425,0.65708566,0.15130065,0.84869903,84.0
"Jingunamani - Ranjith, Sunidhi Chauhan, D Imman",0.4619657,0.18811919,0.10962116,0.22618271,0.2962868,0.74824524,0.6958714,0.5723485,0.8385019,0.25042713,0.74957275,0.20560345,0.79439646,121.0
"Jiya Jale - Lata Mangeshkar, MG Sreekumar",0.5877328,0.27814806,0.048377413,0.29023996,0.32737434,0.6107784,0.7872541,0.45002073,0.8290428,0.3030002,0.6970001,0.13178642,0.86821336,71.0
K - Cigarettes After Sex,0.20424555,0.3042372,0.040268794,0.29708022,0.0368174,0.18176362,0.97440773,0.8157615,0.8432838,0.27606294,0.7239376,0.3337056,0.66629416,94.0
"Kabhi Alvida Naa Kehna - Shankar-Ehsaan-Loy, Sonu Nigam, Alka Yagnik",0.14654598,0.529439,0.014118096,0.12662451,0.16117266,0.18592434,0.9526598,0.8902539,0.5975183,0.37478292,0.625217,0.25636163,0.7436385,74.0
"Kal Ho Naa Ho - Shankar-Ehsaan-Loy, Sonu Nigam",0.25481176,0.5700444,0.020758534,0.21042934,0.17413451,0.20129173,0.9410534,0.819936,0.7077268,0.3673092,0.6326907,0.2583185,0.74168146,81.0
"Kalasala Kalasala - Thaman S, L R Eswari, T Rajendar, Solar Sai",0.5385123,0.14873481,0.12007817,0.36129433,0.2119166,0.7392724,0.79090345,0.45391965,0.84052163,0.29262942,0.7073706,0.19483946,0.8051605,78.0
"Kesariya - Pritam, Arijit Singh, Amitabh Bhattacharya",0.3270489,0.36678424,0.023150798,0.11604593,0.27241907,0.34133527,0.88121635,0.81332725,0.81266284,0.3859123,0.61408794,0.14286779,0.8571324,94.0
"Koi Tumsa Nahin - Sonu Nigam, Shreya Ghoshal",0.3686611,0.326617,0.052755114,0.21102798,0.25697947,0.49460918,0.8107112,0.6080707,0.78131455,0.2878939,0.71210617,0.20469807,0.79530185,70.0
La Calin (CallmeArco Remix) - Serhat Durmus,0.5920997,0.2756922,0.14014928,0.58348227,0.1894851,0.4299404,0.7772308,0.39499396,0.94587374,0.33700886,0.66299105,0.2163375,0.78366256,69.0
Let Her Go - Passenger,0.17534946,0.6130369,0.026646042,0.07056015,0.19212656,0.22397983,0.9046377,0.8458358,0.54551727,0.17482392,0.82517594,0.24227701,0.7577228,75.0
Love Me Like You Do - Ellie Goulding,0.24885774,0.32610255,0.1848731,0.2527164,0.19053964,0.3642662,0.7426017,0.6848764,0.8598652,0.449112,0.55088806,0.22425178,0.77574843,154.0
Lungi Dance - Yo Yo Honey Singh,0.5268985,0.15602276,0.29542547,0.29615107,0.3449129,0.8168889,0.5049545,0.30509713,0.8676241,0.1825657,0.81743443,0.18041365,0.8195864,123.0
"Lívstræðrir - John Lunn, Eivør",0.023951655,0.73484445,0.013366203,0.17168902,0.031908866,0.049611222,0.9920773,0.96840376,0.53235215,0.5356173,0.46438283,0.4125876,0.5874122,154.0
MAYDAY - TheFatRat,0.49552292,0.25982806,0.029836228,0.3873093,0.15753241,0.3863209,0.8730351,0.709211,0.7791487,0.48619545,0.51380455,0.35444978,0.6455502,75.0
Magenta Riddim - DJ Snake,0.757054,0.12405887,0.2547681,0.6972455,0.4807397,0.7618307,0.45860395,0.27706513,0.83758223,0.47696242,0.5230377,0.4745757,0.5254243,102.0
"Main Tera Boyfriend - Arijit Singh, Neha Kakkar",0.72205347,0.14910822,0.10683558,0.4431054,0.36407927,0.80050445,0.6129024,0.41059202,0.81654024,0.3358937,0.66410637,0.18361576,0.81638455,104.0
"Malai Mangum Neram (Female Unplugged) - Deepthi Balasubramanian, Aakash Srinivasan",0.035079055,0.89635056,0.00093517,0.047350805,0.03698282,0.042136826,0.99603194,0.97218096,0.66993284,0.30079484,0.69920504,0.06638211,0.93361795,152.0
Malai Mangum Neram - Prakash Nikki,0.6632388,0.13422184,0.019089539,0.5717843,0.09404812,0.6236713,0.9490524,0.7917711,0.8391014,0.49325344,0.5067466,0.28898567,0.7110142,86.0
"Manasellam Mazhaiye - Sonu Nigam, Saindhavi, GV Prakash Kumar",0.46755508,0.30556703,0.020950083,0.2196699,0.28462234,0.5502972,0.8647595,0.690188,0.7731263,0.3456478,0.6543522,0.12918702,0.8708134,84.0
"Marana Mass - Anirudh Ravichander, S P Balasubrahmanyam",0.36763757,0.12959917,0.28457314,0.27124545,0.24608481,0.7148088,0.59616256,0.42169496,0.79328597,0.24077868,0.7592217,0.29318553,0.70681447,168.0
Masakali Lofi - Aelo,0.27407494,0.6113826,0.013784855,0.28666696,0.086679555,0.08149881,0.98287493,0.8573209,0.820264,0.5945659,0.4054342,0.19931825,0.80068177,138.0
Mayaanadhi - Shahabaz Aman,0.019684091,0.79946864,0.013772982,0.060251858,0.02986857,0.03984365,0.99221706,0.96589696,0.6080444,0.4082325,0.5917676,0.3186274,0.6813725,154.0
Mehabooba - Ananya Bhat,0.14453569,0.46419042,0.012642095,0.14880821,0.07227736,0.22452866,0.9716124,0.83450544,0.53283536,0.5095308,0.49046916,0.40035197,0.59964794,80.0
"Mehabooba - Ravi Basrur, Ananya Bhat",0.15197314,0.41276306,0.015680641,0.1345364,0.074240394,0.27577943,0.97137666,0.844357,0.5660454,0.49542418,0.50457585,0.31882453,0.6811751,80.0
Memories - JFla,0.4960095,0.47760642,0.02752706,0.2106264,0.3550402,0.26765782,0.90010995,0.7359674,0.7907346,0.43722117,0.56277895,0.10567462,0.89432544,94.0
"Mental Manadhil - AR Rahman, Jonita Gandhi",0.8009507,0.08329704,0.20976928,0.69903815,0.41466263,0.72236985,0.46141556,0.23747922,0.9194438,0.49876353,0.50123644,0.43575633,0.5642436,80.0
